B cell hubs	T cell hubs	Myeloid hubs	LC_genes
G6PD	0	0	1	FALSE
GAPDH	1	1	1	FALSE
GATB	0	0	1	FALSE
GFM1	0	0	1	FALSE
GFM2	1	0	0	FALSE
GINS2	0	1	0	FALSE
GNAS	0	0	1	FALSE
GPI	0	0	1	FALSE
GPX4	0	0	1	TRUE
GRSF1	0	0	1	TRUE
GTSE1	0	1	0	TRUE
GZMB	0	1	0	FALSE
H2AFX	1	0	0	FALSE
HADHA	0	0	1	FALSE
HCCS	0	0	1	FALSE
HELLS	0	1	0	TRUE
HEXA	0	0	1	FALSE
HEXB	0	0	1	FALSE
HJURP	0	1	0	FALSE
HLA-A	0	0	1	TRUE
HLA-B	0	0	1	FALSE
HLA-C	0	0	1	FALSE
HLA-DRA	0	0	1	FALSE
HLA-E	1	0	1	FALSE
HLA-G	0	0	1	FALSE
HMGB1	1	1	1	TRUE
HMMR	0	1	0	FALSE
HMOX1	0	0	1	FALSE
HNRNPA1	1	1	1	FALSE
HSD17B10	1	1	1	FALSE
HSD17B8	1	0	0	FALSE
HSP90AA1	1	0	1	TRUE
HSP90AB1	1	0	1	FALSE
HSPA1A	1	0	0	FALSE
HSPA5	1	0	1	FALSE
HSPA8	1	1	1	FALSE
HSPD1	1	0	1	FALSE
IDH3A	0	0	1	FALSE
IDH3G	0	0	1	FALSE
IDO1	0	0	1	TRUE
IFI35	0	1	1	FALSE
IFIH1	0	0	1	FALSE
IFIT1	0	0	1	FALSE
IFIT2	0	0	1	TRUE
IFNAR1	0	0	1	FALSE
IFNAR2	0	0	1	FALSE
IGLL5	1	0	0	FALSE
IL18	0	0	1	FALSE
IL2RA	0	1	0	FALSE
IRF3	0	1	0	FALSE
IRF7	0	0	1	FALSE
IRF8	0	0	1	FALSE
ISCA2	1	0	1	FALSE
ISG15	1	1	1	TRUE
KIF11	0	1	0	FALSE
KIF14	0	1	0	TRUE
KIF15	0	1	0	FALSE
KIF18A	0	1	0	FALSE
KIF20A	0	1	0	TRUE
KIF4A	0	1	0	TRUE
KIFC1	0	1	0	FALSE
KLRB1	0	1	0	FALSE
KLRC1	0	1	0	FALSE
KRT10	1	0	0	FALSE
LAG3	0	1	0	FALSE
LAMP1	0	0	1	TRUE
LAPTM5	0	0	1	FALSE
LDHA	0	0	1	TRUE
LDHB	1	1	0	FALSE
LIG1	0	1	0	FALSE
LSM10	1	0	1	FALSE
LSM4	0	1	0	FALSE
LYRM7	1	0	0	FALSE
MAD2L1	0	1	0	FALSE
MALSU1	1	0	1	FALSE
MAP2K1	0	0	1	TRUE
MAPK1	0	0	1	TRUE
MAPK3	0	0	1	FALSE
MCAT	0	0	1	FALSE
MCM10	0	1	0	FALSE
MCM2	0	1	0	FALSE
MCM4	0	1	0	TRUE
MCM5	0	1	0	FALSE
MCM6	0	1	0	FALSE
MCM7	0	1	0	FALSE
MDH1	0	0	1	FALSE
MDH2	1	0	1	FALSE
MELK	0	1	0	FALSE
MKI67	0	1	0	FALSE
MND1	0	1	0	FALSE
MRRF	0	0	1	FALSE
MTG2	0	0	1	FALSE
MTIF3	1	0	1	FALSE
MX1	0	1	0	FALSE
NACA	1	1	1	FALSE
NARS2	1	0	0	FALSE
NCAPG	0	1	0	FALSE
NDC80	0	1	0	FALSE
NEK2	0	1	0	TRUE
NOA1	1	1	0	FALSE
NPM1	1	1	0	TRUE
NRAS	0	0	1	TRUE
NUF2	0	1	0	FALSE
NUSAP1	0	1	0	FALSE
OAS1	0	0	1	FALSE
ORC1	0	1	0	FALSE
ORC6	0	1	0	FALSE
PABPC1	1	1	1	TRUE
PBK	0	1	0	TRUE
PCNA	0	1	0	FALSE
PDCD1	0	1	0	TRUE
PDHB	1	0	0	FALSE
PDIA3	1	0	1	FALSE
PDIA4	1	0	0	FALSE
PDSS1	0	0	1	FALSE
PET100	1	0	1	FALSE
PET117	0	0	1	FALSE
PKMYT1	0	1	0	FALSE
PLK1	0	1	0	FALSE
POLA2	0	1	0	FALSE
POLE2	0	1	0	FALSE
POLG2	0	1	0	FALSE
PPIA	1	1	1	FALSE
PRDX1	0	0	1	FALSE
PRDX6	1	0	1	FALSE
PRIM1	0	1	0	FALSE
PSMA2	0	0	1	FALSE
PSMA4	0	0	1	FALSE
PSMB8	0	0	1	FALSE
PSMB9	0	0	1	FALSE
PSMC4	1	0	1	FALSE
PSMD4	0	0	1	FALSE
PSMD6	0	0	1	FALSE
PTTG1	0	1	0	TRUE
RAC1	0	0	1	TRUE
RAD51	0	1	0	TRUE
RAD54L	0	1	0	FALSE
RAN	0	0	1	FALSE
RFC3	0	1	0	FALSE
RFC4	0	1	0	FALSE
RFC5	0	1	0	TRUE
RNASEH2A	0	1	0	FALSE
RPA2	0	1	0	FALSE
RPA3	0	1	0	FALSE
RPE	0	0	1	FALSE
RPN1	1	0	0	FALSE
RRM2	0	1	0	FALSE
RSAD2	0	1	1	FALSE
RSL24D1	1	0	1	FALSE
RTN4IP1	1	0	0	FALSE
S100A7	1	0	0	FALSE
S100A8	0	0	1	FALSE
S100A9	0	0	1	FALSE
SARS2	1	0	0	FALSE
SCO1	0	0	1	FALSE
SDHA	1	1	0	FALSE
SDHB	0	0	1	FALSE
SDHC	0	0	1	FALSE
SDHD	0	0	1	FALSE
SKA1	0	1	0	FALSE
SKA3	0	1	0	FALSE
SKP2	0	1	0	TRUE
SLC25A3	1	0	1	FALSE
SLC25A5	1	0	1	FALSE
SLC26A6	0	0	1	FALSE
SLC2A1	0	0	1	TRUE
SLC39A8	0	0	1	FALSE
SLC46A1	0	0	1	FALSE
SNRPE	1	0	0	FALSE
SNRPG	1	1	1	FALSE
SOD2	0	0	1	FALSE
SPAG5	0	1	0	TRUE
SPC24	0	1	0	TRUE
SPC25	0	1	0	FALSE
SQSTM1	0	0	1	TRUE
SRSF3	0	1	0	TRUE
SSBP1	1	1	1	FALSE
STAT1	0	1	1	TRUE
STIL	0	1	0	FALSE
SUCLG1	0	0	1	FALSE
SURF1	1	0	1	FALSE
TARS2	1	0	0	FALSE
TFB1M	0	1	0	FALSE
TFB2M	0	0	1	FALSE
TIMMDC1	0	0	1	FALSE
TIPIN	0	1	0	FALSE
TLR3	0	0	1	FALSE
TMSB10	1	1	1	TRUE
TNFRSF18	0	1	0	FALSE
TNFRSF4	0	1	0	FALSE
TNFSF10	0	1	1	FALSE
TNFSF13B	0	0	1	FALSE
TOP2A	0	1	0	FALSE
TPI1	1	0	1	FALSE
TPT1	1	1	1	FALSE
TPX2	0	1	0	TRUE
TRAF2	1	1	0	FALSE
TREM2	0	0	1	FALSE
TRIM22	0	1	0	TRUE
TRIP13	0	1	0	FALSE
TRUB2	0	0	1	FALSE
TTK	0	1	0	TRUE
TUBA1B	0	1	1	FALSE
TXN2	0	0	1	FALSE
TXNRD2	0	0	1	TRUE
UBC	1	1	1	FALSE
UBE2C	0	1	0	TRUE
UGP2	0	0	1	FALSE
UQCC2	1	0	0	FALSE
UQCC3	1	0	0	FALSE
UQCR10	1	1	1	FALSE
UQCR11	1	1	1	FALSE
UQCRB	1	1	1	FALSE
UQCRC1	0	0	1	FALSE
UQCRC2	1	0	1	FALSE
UQCRFS1	1	0	0	FALSE
UQCRH	1	0	1	FALSE
UQCRQ	1	0	1	FALSE
VCP	1	1	0	FALSE
VDAC1	0	0	1	FALSE
XRCC2	0	1	0	FALSE
XRCC5	0	1	0	FALSE
YWHAZ	0	0	1	FALSE
ZWILCH	0	1	0	FALSE
ZWINT	0	1	0	FALSE
